# Copyright (C) 1991-2007 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 7.2 Build 151 09/26/2007 SJ Full Version
# File: D:\v1.21\DE2_70_TOP.csv
# Generated on: Wed Nov 14 23:36:20 2007

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

From,To,Assignment Name,Value,Enabled
,SSRAM_DATA[14],Location,PIN_AJ19,Yes
,SSRAM_DATA[15],Location,PIN_AK23,Yes
,SSRAM_DATA[16],Location,PIN_AJ20,Yes
,SSRAM_DATA[17],Location,PIN_AK21,Yes
,SSRAM_DATA[18],Location,PIN_AJ21,Yes
,SSRAM_DATA[19],Location,PIN_AK22,Yes
,SSRAM_DATA[20],Location,PIN_AJ22,Yes
,SSRAM_DATA[21],Location,PIN_AH15,Yes
,SSRAM_DATA[22],Location,PIN_AJ15,Yes
,SSRAM_DATA[23],Location,PIN_AJ16,Yes
,SSRAM_DATA[24],Location,PIN_AK14,Yes
,SSRAM_DATA[25],Location,PIN_AJ14,Yes
,SSRAM_DATA[26],Location,PIN_AJ13,Yes
,SSRAM_DATA[27],Location,PIN_AH13,Yes
,SSRAM_DATA[28],Location,PIN_AK12,Yes
,SSRAM_DATA[29],Location,PIN_AK7,Yes
,SSRAM_DATA[30],Location,PIN_AJ8,Yes
,SSRAM_DATA[31],Location,PIN_AK8,Yes
,SSRAM_CLK,Location,PIN_AD7,Yes
,SSRAM_OE_N,Location,PIN_AD18,Yes
,SSRAM_WE_N,Location,PIN_AF18,Yes

,SSRAM_GW_N,Location,PIN_AG18,Yes

,SSRAM_BE_N[0],Location,PIN_AC21,Yes
,SSRAM_BE_N[1],Location,PIN_AC20,Yes
,SSRAM_BE_N[2],Location,PIN_AD20,Yes
,SSRAM_BE_N[3],Location,PIN_AH20,Yes
,SSRAM_CE1_N,Location,PIN_AH19,Yes
,SSRAM_CE2,Location,PIN_AG19,Yes
,SSRAM_CE3_N,Location,PIN_AD22,Yes

,SSRAM_ADSC_N,Location,PIN_AG17,Yes
,SSRAM_ADSP_N,Location,PIN_AC18,Yes
,SSRAM_ADV_N,Location,PIN_AD16,Yes

#,FL_DATA15_AM1,Location,PIN_AE24,Yes
,FL_ADDRESS[0],Location,PIN_AE24,Yes

,FL_ADDRESS[1],Location,PIN_AF24,Yes
,FL_ADDRESS[2],Location,PIN_AG24,Yes
,FL_ADDRESS[3],Location,PIN_AE23,Yes
,FL_ADDRESS[4],Location,PIN_AG23,Yes
,FL_ADDRESS[5],Location,PIN_AF23,Yes
,FL_ADDRESS[6],Location,PIN_AG22,Yes
,FL_ADDRESS[7],Location,PIN_AH22,Yes
,FL_ADDRESS[8],Location,PIN_AF22,Yes
,FL_ADDRESS[9],Location,PIN_AH27,Yes
,FL_ADDRESS[10],Location,PIN_AJ27,Yes
,FL_ADDRESS[11],Location,PIN_AH26,Yes
,FL_ADDRESS[12],Location,PIN_AJ26,Yes
,FL_ADDRESS[13],Location,PIN_AK26,Yes
,FL_ADDRESS[14],Location,PIN_AJ25,Yes
,FL_ADDRESS[15],Location,PIN_AK25,Yes
,FL_ADDRESS[16],Location,PIN_AH24,Yes
,FL_ADDRESS[17],Location,PIN_AG25,Yes
,FL_ADDRESS[18],Location,PIN_AF21,Yes
,FL_ADDRESS[19],Location,PIN_AD21,Yes
,FL_ADDRESS[20],Location,PIN_AK28,Yes
,FL_ADDRESS[21],Location,PIN_AJ28,Yes
,FL_ADDRESS[22],Location,PIN_AE20,Yes

,FL_BYTE_N,Location,PIN_Y29,Yes
,FL_CE_N,Location,PIN_AG28,Yes
,FL_DATA[0],Location,PIN_AF29,Yes
,FL_DATA[1],Location,PIN_AE28,Yes
,FL_DATA[2],Location,PIN_AE30,Yes
,FL_DATA[3],Location,PIN_AD30,Yes
,FL_DATA[4],Location,PIN_AC29,Yes
,FL_DATA[5],Location,PIN_AB29,Yes
,FL_DATA[6],Location,PIN_AA29,Yes
,FL_DATA[7],Location,PIN_Y28,Yes
#,FL_DATA[10],Location,PIN_AD29,Yes
#,FL_DATA[11],Location,PIN_AC28,Yes
#,FL_DATA[12],Location,PIN_AC30,Yes
#,FL_DATA[13],Location,PIN_AB30,Yes
#,FL_DATA[14],Location,PIN_AA30,Yes
#,FL_DATA15_AM1,Location,PIN_AE24,Yes
#,FL_DATA[8],Location,PIN_AF30,Yes
#,FL_DATA[9],Location,PIN_AE29,Yes
,FL_OE_N,Location,PIN_AG29,Yes
,FL_RESET_N,Location,PIN_AH28,Yes
,FL_RY,Location,PIN_AH30,Yes
,FL_WE_N,Location,PIN_AJ29,Yes
,FL_WP_N,Location,PIN_AH29,Yes
